rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
9000,1,1,Not given,1,Deposit4 months rent,Super Built up area 741(68.84 sq.m.)  sq.ft.,Unfurnished,All," in Majestique Magnum, Pisoli, , Pune, Maharashtra",12nd   of 12 Floors,West,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
8500,2,2,Not given,1,"Deposit₹ 20,000/-",Built Up area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Bhama Sai Samruddhi, Chakan, , Pune, Maharashtra",1st   of 4 Floors,North,Others,Yes,,"1 Covered, 1 Open",Yes,Yes,None,0 Months,Charges not included,None,1 to 5 Year Old
"17,900",2,2,Not given,1,"Maintenance₹ 5,000/- ((one time fee))Deposit₹ 50,000/-",Carpet area: 664 (61.69 sq.m.)  sq.ft.,Unfurnished,All," in Siddhivinayak Aspiria, Hinjewadi, , Pune, Maharashtra",2nd   of 12 Floors,North-East,Ceramic,Yes,,"1 Covered, 1 Open",Yes,,None,1 Months,Charges not included,None,1 to 5 Year Old
"12,001",2,2,Not given,2,"Maintenance₹ 2,450/- (/ month)Deposit₹ 12,000/-",Super Built up area 1200(111.48 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.)  sq.ft.,Unfurnished,All," in Prestine New City, Wagholi, , Pune, Maharashtra",1st   of 4 Floors,East,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
7500,1,1,Not given,,"Deposit₹ 15,000/-",Plot area 350(32.52 sq.m.)  sq.ft.,Unfurnished,Family Only," in Pimple Gurav, , Pune, Maharashtra",,East,Vitrified,Yes,," Covered, 1 Open",,,11 Months,1 Months,Charges not included,None,5 to 10 Year Old
5500,1,1,Not given,1,Deposit2 months rent,Built Up area: 600 (55.74 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Unfurnished,Family Only," in Narmada Park, Medankarwadi, , Pune, Maharashtra",2nd   of 4 Floors,North-West,Vitrified,Yes,,1 Open,,,None,1 Months,Charges not included,None,5 to 10 Year Old
"12,000",2,2,Not given,1,"Deposit₹ 25,000/-",Carpet area: 780 (72.46 sq.m.)  sq.ft.,Semifurnished,All," in RAGHAV MANGAL KARYALAYA DIGHI, , Pune, Maharashtra",4th   of 5 Floors,East,Ceramic,,Yes,1 Covered,,,11 Months,1 Months,Charges included,Partial,1 to 5 Year Old
6500,1,1,Not given,,"Deposit₹ 10,000/-",Plot area 500(46.45 sq.m.)  sq.ft.,Unfurnished,All," in Keshav Nagar, , Pune, Maharashtra",,,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"25,000",4,3,"Pooja Room,Study Room",2,"Deposit₹ 50,000/-",Plot area 3000(278.71 sq.m.)Built Up area: 2750 sq.ft. (255.48 sq.m.)  sq.ft.,Unfurnished,Family Only," in Swaraj Bunglow, Uruli Devachi, , Pune, Maharashtra",,East,Marble,Yes,,5 Open,,Yes,11 Months,1 Months,Charges not included,None,0 to 1 Year Old
9500,1,1,Not given,1,,Carpet area: 400 (37.16 sq.m.)  sq.ft.,Semifurnished,All," in Dreams Aakruti, Hadapsar, , Pune, Maharashtra",6th   of 10 Floors,,,,,1 Open,,,None,0 Months,Charges included,None,5 to 10 Year Old
8000,1,1,Not given,2,"Deposit₹ 20,000/-",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,All," in siddharth apartment, Balaji Nagar, , Pune, Maharashtra",4th   of 4 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
4500,1,1,Not given,,"Deposit₹ 15,000/-",Built Up area: 300 (27.87 sq.m.)  sq.ft.,Unfurnished,None," in Hadapsar, , Pune, Maharashtra",,North,,,,,,,None,0 Months,Charges not included,None,1 to 5 Year Old
6000,1,1,Not given,1,Deposit2 months rent,Plot area 150(13.94 sq.m.)  sq.ft.,Semifurnished,All," in Pimpri Chinchwad, , Pune, Maharashtra",,East,Marble,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"14,000",2,2,Not given,1,,Plot area 935(86.86 sq.m.)  sq.ft.,Unfurnished,Family Only," in Hadapsar, , Pune, Maharashtra",,East,,,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"12,000",2,2,Not given,3+,"Deposit₹ 40,000/-",Built Up area: 1800 (167.23 sq.m.)  sq.ft.,Semifurnished,All," in Sasane Nagar, , Pune, Maharashtra",3rd   of 4 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"12,500",2,1,Pooja Room,2,,Carpet area: 920 (85.47 sq.m.)  sq.ft.,Unfurnished,Family Only," in Anand Park Nagar, , Pune, Maharashtra",1st   of 2 Floors,,Vitrified,,,,,,11 Months,1 Months,Charges not included,None,1 to 5 Year Old
"20,000",3,3,Not given,3,Deposit3 months rent,Built Up area: 1500 (139.35 sq.m.)  sq.ft.,Semifurnished,Bachelors (Women Only)," in Whistling Meadows, Bhugaon, , Pune, Maharashtra",3rd   of 13 Floors,South-West,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,0 Months,Charges not included,Partial,1 to 5 Year Old
9000,1,1,Not given,1,"Deposit₹ 25,000/-",Carpet area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Shri Induban Residency, Dighi, , Pune, Maharashtra",7th   of 9 Floors,East,Marble,Yes,Yes,2 Covered,,,1 Months,1 Months,Charges not included,Full,1 to 5 Year Old
5000,1,1,Not given,,,Carpet area: 399 (37.07 sq.m.)  sq.ft.,Unfurnished,All," in on request, Keshav Nagar, , Pune, Maharashtra",3rd   of 3 Floors,West,,Yes,,,,,None,0 Months,Charges not included,None,5 to 10 Year Old
"13,000",2,2,Not given,1,Deposit3 months rent,Carpet area: 56.84   sq.m.,Unfurnished,Family Only," in The Leaf, Yewalewadi, , Pune, Maharashtra",3rd   of 14 Floors,South-West,Vitrified,,,1 Open,Yes,,11 Months,2 Months,Charges not included,Partial,1 to 5 Year Old
"11,000",2,2,Not given,2,"Deposit₹ 30,000/-",Super Built up area 1062(98.66 sq.m.)Carpet area: 58.39 sq.m.  sq.ft.,Unfurnished,Family Only," in Maa Sai Dwarka, Yewalewadi, , Pune, Maharashtra",2nd   of 11 Floors,West,,Yes,,1 Covered,,,None,0 Months,Charges not included,None,0 to 1 Year Old
"18,500",2,2,Not given,2,"Deposit₹ 40,000/-",Built Up area: 900 (83.61 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in Vinayak Treasure Society, Kashid Park, , Pune, Maharashtra",4th   of 7 Floors,East,Vitrified,Yes,,1 Covered,,,None,1 Months,Charges included,Partial,5 to 10 Year Old
"10,000",2,2,Not given,2,"Deposit₹ 20,000/-",Built Up area: 750 (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Hadapsar, , Pune, Maharashtra",,,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
9000,2,2,Not given,1,"Deposit₹ 20,000/-",Super Built up area 828(76.92 sq.m.)  sq.ft.,Semifurnished,All," in Siddhi nandan Apartment, Ambegaon Budruk, , Pune, Maharashtra",1st   of 5 Floors,,,,,1 Covered,,,None,0 Months,Charges not included,None,5 to 10 Year Old
5000,1,1,Others,1,"Deposit₹ 10,000/-",Plot area 1500(139.35 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.)  sq.ft.,Semifurnished,All," in Kamalini Datt, Manjri, , Pune, Maharashtra",,,,,,1 Open,,,None,0 Months,Charges not included,None,0 to 1 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
9000,1,1,Not given,,"Deposit₹ 15,000/-",Built Up area: 450 (41.81 sq.m.)  sq.ft.,Furnished,Family Only," in Bhairav Nagar, , Pune, Maharashtra",Ground of 2 Floors,South-East,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
9000,1,1,Not given,,"Deposit₹ 10,000/-",Built Up area: 250 (23.23 sq.m.)  sq.ft.,Unfurnished,All," in Bavdhan, , Pune, Maharashtra",4th   of 4 Floors,North-East,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"12,000",1,1,Not given,1,"Deposit₹ 20,000/-",Super Built up area 1100(102.19 sq.m.)Built Up area: 750 sq.ft. (69.68 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Semifurnished,All," in Atul Nagar Society, Warje, , Pune, Maharashtra",2nd   of 3 Floors,West,Vitrified,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
7000,1,1,Not given,1,Deposit2 months rent,Built Up area: 450 (41.81 sq.m.)  sq.ft.,Unfurnished,Family Only," in Manjari Budruk, , Pune, Maharashtra",,West,,,,,,,None,0 Months,Charges not included,None,0 to 1 Year Old
7000,1,1,Not given,1,Deposit2 months rent,Built Up area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,All," in Manjri BK, , Pune, Maharashtra",,West,,,,1 Covered,,,None,0 Months,Charges not included,None,1 to 5 Year Old
"13,500",1,1,Not given,1,,Super Built up area 616(57.23 sq.m.)  sq.ft.,Unfurnished,Family Only," in Bhakti Plaza, Dhanori, , Pune, Maharashtra",4th   of 4 Floors,North,,Yes,,1 Covered,,,None,0 Months,Charges included,None,1 to 5 Year Old
"14,000",2,1,Not given,,"Deposit₹ 40,000/-",Built Up area: 1200 (111.48 sq.m.)  sq.ft.,Semifurnished,Family Only," in Anandvan CHS, Chinchwad Gaon, , Pune, Maharashtra",2nd   of 4 Floors,,,,,,,,None,0 Months,Charges not included,None,10+ Year Old
"15,000",2,1,Not given,,"Deposit₹ 45,000/-",Plot area 1000(92.9 sq.m.)  sq.ft.,Unfurnished,All," in Pimple Gurav, , Pune, Maharashtra",,,,,,1 Covered,,,None,0 Months,Charges not included,None,10+ Year Old
"15,000",1,1,Not given,1,"Deposit₹ 50,000/-",Plot area 560(52.03 sq.m.)  sq.ft.,Semifurnished,Family Only," in SUKHSAGAR 1 NAGAR KATRAJ, , Pune, Maharashtra",,West,Others,,Yes,1 Open,,,21 Months,2 Months,Charges not included,None,5 to 10 Year Old
