rent,bedroom,bathrooms,additional_rooms,balcany,brokarage,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage
"18,000",2,2,Study Room,2,"Maintenance₹ 100/- (/ month)Brokerage₹ 60,000/- (Negotiable)Deposit3 months rent",Super Built up area 1018(94.58 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Semifurnished,All," in GK Vedanta, Shankar Kalat Nagar, , Pune, Maharashtra",11st   of 11 Floors,East,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"16,000",1,1,Others,2,"Brokerage₹ 16,000/- (Negotiable)Deposit30 months rent",Carpet area: 600 (55.74 sq.m.)  sq.ft.,Unfurnished,"Family , Bachelors (Women Only)"," in Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",5th   of 11 Floors,East,Concrete,,," Covered,  Open",Yes,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"27,000",3,3,Others,3,"Brokerage₹ 27,000/- (Negotiable)Deposit₹ 80,000/-",Super Built up area 1500(139.35 sq.m.)  sq.ft.,Unfurnished,All," in Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",2nd   of 12 Floors,East,Vitrified,Yes,,"1 Covered, 0 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"13,000",1,1,Others,1,"Maintenance₹ 1/- (/ month)Brokerage₹ 13,000/- (Non-Negotiable)Deposit₹ 30,000/-",Super Built up area 670(62.25 sq.m.)Built Up area: 650 sq.ft. (60.39 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.)  sq.ft.,Unfurnished,All," in Shubh Skypoint, Keshav Nagar, , Pune, Maharashtra",7th   of 11 Floors,South-East,Vitrified,Yes,,1 Covered,Yes,,11 Months,1 Months,Charges not included,Partial,1 to 5 Year Old
"27,000",2,2,Others,2,"Brokerage₹ 27,000/- (Negotiable)Deposit₹ 100,000/-",Carpet area: 1000 (92.9 sq.m.)  sq.ft.,Furnished,All," in Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",8th   of 12 Floors,East,Vitrified,Yes,," Covered,  Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"21,000",2,2,Others,2,"Brokerage₹ 21,000/- (Negotiable)Deposit₹ 50,000/-",Carpet area: 900 (83.61 sq.m.)  sq.ft.,Unfurnished,All," in Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",3rd   of 12 Floors,East,Vitrified,Yes,," Covered, 1 Open",Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"18,000",2,2,Study Room,2,"Maintenance₹ 100/- (/ month)Brokerage₹ 18,000/- (Negotiable)Deposit₹ 3/-",Super Built up area 1079(100.24 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.)  sq.ft.,Semifurnished,"Family , Bachelors (Women Only)"," in GK Vedanta, Shankar Kalat Nagar, , Pune, Maharashtra",11st   of 11 Floors,West,Vitrified,Yes,Yes,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"15,000",1,1,Not given,1,"Brokerage₹ 25,000/- (Negotiable)Deposit₹ 50,000/-",Super Built up area 750(69.68 sq.m.)Built Up area: 650 sq.ft. (60.39 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Semifurnished,Family Only," in 9 sunstone, Karve Nagar, , Pune, Maharashtra",1st   of 5 Floors,North-East,Vitrified,Yes,,,,,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
,,,Not given,0,,None,,None,,,,,,,,,,,,,,
"21,000",2,2,Not given,2,"Deposit₹ 50,000/-",Built Up area: 1250 (116.13 sq.m.)  sq.ft.,Semifurnished,Family Only," in Sunder Shrusti, Sinhgad Road, , Pune, Maharashtra",5th   of 7 Floors,East,Vitrified,Yes,Yes,1 Covered,,Yes,None,0 Months,Charges not included,Partial,5 to 10 Year Old
"14,500",1,1,Others,1,"Maintenance₹ 1,100/- ((one time fee))Brokerage₹ 14,500/- (Non-Negotiable)Deposit₹ 35,000/-",Super Built up area 650(60.39 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.)  sq.ft.,Semifurnished,All," in Hermes Heritage, Shastri Nagar, , Pune, Maharashtra",3rd   of 8 Floors,East,Ceramic,Yes,,1 Open,,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"12,000",1,1,"Study Room,Others",1,"Maintenance₹ 500/- (/ month)Brokerage₹ 12,000/- (Non-Negotiable)Deposit₹ 25,000/-",Super Built up area 950(88.26 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.)  sq.ft.,Unfurnished,All," in Shubham Park CHS, Pradhikaran, , Pune, Maharashtra",2nd   of 4 Floors,North,,,,"1 Covered, 1 Open",,,None,0 Months,Charges not included,None,5 to 10 Year Old
"14,000",1,1,Not given,1,,Super Built up area 570(52.95 sq.m.)Carpet area: 590 sq.ft. (54.81 sq.m.)  sq.ft.,Semifurnished,Family Only," in Goel Amrut Ganga, Niranjan Park, , Pune, Maharashtra",3rd   of 12 Floors,North-West,,Yes,," Covered, 1 Open",,,None,1 Months,Charges included,Full,10+ Year Old
"21,000",2,2,Store Room,2,"Brokerage₹ 21,000/- (Non-Negotiable)Deposit₹ 60,000/-",Super Built up area 1150(106.84 sq.m.)Built Up area: 1098 sq.ft. (102.01 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.)  sq.ft.,Furnished,All," in BG Tatva Pune, Tukaram Nagar, , Pune, Maharashtra",4th   of 11 Floors,East,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"18,000",2,2,Store Room,2,"Brokerage₹ 18,000/- (Non-Negotiable)Deposit₹ 50,000/-",Super Built up area 1255(116.59 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 958 sq.ft. (89 sq.m.)  sq.ft.,Unfurnished,All," in Marvel Ganga Fria Phase 1, Wagholi, , Pune, Maharashtra",10th   of 12 Floors,North,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"22,000",3,2,Store Room,1,"Brokerage₹ 25,000/- (Non-Negotiable)Deposit₹ 75,000/-",Super Built up area 1345(124.95 sq.m.)Built Up area: 1298 sq.ft. (120.59 sq.m.)Carpet area: 1045 sq.ft. (97.08 sq.m.)  sq.ft.,Semifurnished,All," in Madhuban Satin Brick, Tulaja Bhawani Nagar, , Pune, Maharashtra",6th   of 8 Floors,South-West,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
"30,000",2,2,Pooja Room,1,"Brokerage₹ 45,000/- (Negotiable)Deposit₹ 120,000/-",Carpet area: 1100 (102.19 sq.m.)  sq.ft.,Semifurnished,Family Only," in swaraj residency, Erandwane, , Pune, Maharashtra",2nd   of 7 Floors,West,Marble,Yes,,"1 Covered, 1 Open",,,11 Months,1 Months,Charges not included,Full,0 to 1 Year Old
"17,000",2,2,Pooja Room,1,Brokerage₹ 1/- (Non-Negotiable)Deposit2 months rent,Carpet area: 800 (74.32 sq.m.)  sq.ft.,Unfurnished,All," in Kukreja Heritage, Dhanori, , Pune, Maharashtra",6th   of 8 Floors,North,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,11 Months,1 Months,Charges not included,Partial,5 to 10 Year Old
"20,000",2,2,Store Room,2,"Brokerage₹ 20,000/- (Negotiable)Deposit₹ 60,000/-",Super Built up area 1050(97.55 sq.m.)Built Up area: 945 sq.ft. (87.79 sq.m.)Carpet area: 798 sq.ft. (74.14 sq.m.)  sq.ft.,Semifurnished,All," in Kumar Periwinkle, Raghavendra Nagar, , Pune, Maharashtra",8th   of 10 Floors,South-West,Vitrified,Yes,,1 Covered,Yes,Yes,11 Months,1 Months,Charges not included,Full,1 to 5 Year Old
"15,000",1,2,Others,1,Brokerage₹ 1/- (Non-Negotiable)Deposit3 months rent,Super Built up area 700(65.03 sq.m.)Built Up area: 680 sq.ft. (63.17 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.)  sq.ft.,Semifurnished,All," in DEW DROPS, Vishrantwadi, , Pune, Maharashtra",2nd   of 8 Floors,South-West,Vitrified,Yes,,"1 Covered,  Open",Yes,Yes,11 Months,2 Months,Charges not included,Partial,5 to 10 Year Old
"15,000",1,1,Not given,1,"Maintenance₹ 1/- (/ year)Brokerage₹ 15,000/- (Non-Negotiable)Deposit₹ 40,000/-",Super Built up area 650(60.39 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.)  sq.ft.,Unfurnished,All," in Mahesh Paradise, Wireless Colony, , Pune, Maharashtra",4th   of 7 Floors,North,Vitrified,Yes,,1 Open,,,11 Months,1 Months,Charges not included,Full,5 to 10 Year Old
